row_id,participant_id,block_id,trial_index,winner_model_name,choice,correct_side,is_choice_correct,reaction_time_ms,H,prev_observed_belief_L,psi_t,abs_prev_belief_L,abs_psi_t,psi_shrinkage_abs,is_change_point
418,P03,3,32,cont_asymptote,1,1,1,310,0.001,13.902286,6.905839232724373,13.902286,6.905839232724373,6.996446767275627,0
419,P03,3,33,cont_asymptote,1,1,1,645,0.001,11.371957,6.895318069990406,11.371957,6.895318069990406,4.476638930009594,0
420,P03,3,34,cont_asymptote,1,1,1,393,0.001,12.120826,6.901330041450917,12.120826,6.901330041450917,5.219495958549082,0
421,P03,3,35,cont_asymptote,1,1,1,362,0.001,7.655415,6.519454221359171,7.655415,6.519454221359171,1.135960778640829,0
422,P03,3,36,cont_asymptote,-1,0,0,411,0.011,15.399163,4.498780609759637,15.399163,4.498780609759637,10.900382390240363,1
423,P03,3,37,cont_asymptote,-1,0,0,383,0.011,-1.316517,-1.2788408936759144,1.316517,1.2788408936759144,0.03767610632408558,0
424,P03,3,38,cont_asymptote,-1,0,0,326,0.011,-12.637792,-4.498507206499722,12.637792,4.498507206499722,8.139284793500277,0
425,P03,3,39,cont_asymptote,-1,0,0,293,0.011,-8.65545,-4.483262431107934,8.65545,4.483262431107934,4.172187568892066,0
426,P03,3,40,cont_asymptote,-1,0,0,318,0.011,-11.283607,-4.4976690127479735,11.283607,4.4976690127479735,6.7859379872520265,0
457,P03,4,31,cont_asymptote,1,1,1,361,0.061,-4.159404,-2.5195238982036554,4.159404,2.5195238982036554,1.639880101796345,1
458,P03,4,32,cont_asymptote,1,1,1,380,0.061,7.181727,2.722354516644791,7.181727,2.722354516644791,4.459372483355209,0
459,P03,4,33,cont_asymptote,1,1,1,428,0.051,15.925566,2.92358091655122,15.925566,2.92358091655122,13.00198508344878,0
460,P03,4,34,cont_asymptote,1,1,1,397,0.051,6.953939,2.9060224792687377,6.953939,2.9060224792687377,4.047916520731262,0
461,P03,4,35,cont_asymptote,1,1,1,319,0.051,14.80339,2.9235762570024324,14.80339,2.9235762570024324,11.879813742997568,0
462,P03,4,36,cont_asymptote,-1,0,0,358,0.051,12.567876,2.923518560809569,12.567876,2.923518560809569,9.644357439190431,1
463,P03,4,37,cont_asymptote,1,1,1,348,0.051,-8.655464,-2.920356790893317,8.655464,2.920356790893317,5.735107209106683,1
464,P03,4,38,cont_asymptote,-1,0,0,368,0.061,13.055834,2.733908849651824,13.055834,2.733908849651824,10.321925150348177,1
465,P03,4,39,cont_asymptote,1,1,1,315,0.071,-4.90789,-2.479715819882528,4.90789,2.479715819882528,2.428174180117472,1
466,P03,4,40,cont_asymptote,1,1,1,441,0.071,4.664756,2.4558989774367914,4.664756,2.4558989774367914,2.2088570225632083,0
